index,iou,accuracy,runtime_sec,iterations,converged
0,0.2193803285506342,0.4134375,17.35762959900603,30.0,0.0
1,0.08931965032307106,0.25125,16.505180097999983,30.0,0.0
2,0.1260156125537677,0.1428125,14.661567329996615,30.0,0.0
3,0.08003423924673655,0.32828125,16.200906139987637,30.0,0.0
4,0.10704405192594167,0.344375,15.909852786004194,30.0,0.0
5,0.015425689706318595,0.48140625,18.080747603002237,30.0,0.0
6,0.2703003337041154,0.8975,11.530307198001537,20.0,1.0
7,0.12269129287598943,0.3765625,16.255095803993754,30.0,0.0
8,0.17190458159787952,0.65828125,12.201307869996526,21.0,1.0
9,0.33183489987740084,0.4890625,16.90005872200709,30.0,0.0
