index,solved,clues_consistent,converged,iterations,runtime_sec
0,1.0,1.0,1.0,14.0,1.0352456030086614
1,1.0,1.0,1.0,33.0,2.4910057630040683
2,1.0,1.0,1.0,26.0,1.7429265679966193
3,1.0,1.0,1.0,32.0,2.2743378589948406
4,1.0,1.0,1.0,35.0,2.404786081999191
5,1.0,1.0,1.0,22.0,1.4982605580007657
6,1.0,1.0,1.0,22.0,1.4843102930026362
7,1.0,1.0,1.0,38.0,2.693669811997097
8,1.0,1.0,1.0,35.0,2.458233793004183
9,1.0,1.0,1.0,24.0,1.5253534590010531
10,1.0,1.0,1.0,20.0,1.6796690069895703
11,1.0,1.0,1.0,16.0,1.14777177599899
12,1.0,1.0,1.0,30.0,2.2456691679981304
13,1.0,1.0,1.0,36.0,2.7370291549887042
14,1.0,1.0,1.0,37.0,2.983256050996715
15,1.0,1.0,1.0,32.0,2.21761173599225
16,1.0,1.0,1.0,33.0,2.7622587719961302
17,1.0,1.0,1.0,41.0,3.2469320399977732
18,1.0,1.0,1.0,23.0,1.6445346179971239
19,1.0,1.0,1.0,19.0,1.6798848489997908
20,1.0,1.0,1.0,21.0,1.7619965550111374
21,1.0,1.0,1.0,41.0,3.3209486180130625
22,1.0,1.0,1.0,22.0,1.676043536994257
23,1.0,1.0,1.0,29.0,2.0681179700040957
24,1.0,1.0,1.0,33.0,2.671483394995448
25,1.0,1.0,1.0,22.0,1.6026105380005902
26,1.0,1.0,1.0,27.0,2.0405143579992
27,1.0,1.0,1.0,39.0,3.110235571002704
28,1.0,1.0,1.0,34.0,2.42777546698926
29,1.0,1.0,1.0,23.0,1.620444567000959
30,1.0,1.0,1.0,29.0,1.9745641159970546
31,1.0,1.0,1.0,21.0,1.3746703770011663
32,1.0,1.0,1.0,19.0,1.2304363409930374
33,1.0,1.0,1.0,30.0,2.41343528800644
34,1.0,1.0,1.0,41.0,2.5996976640017238
35,1.0,1.0,1.0,32.0,2.054743230997701
36,1.0,1.0,1.0,30.0,2.1609871489927173
37,1.0,1.0,1.0,23.0,1.8718016669881763
38,1.0,1.0,1.0,31.0,2.843839614011813
39,1.0,1.0,1.0,14.0,1.4405127609934425
40,1.0,1.0,1.0,25.0,2.147223626001505
41,1.0,1.0,1.0,27.0,2.0779524630052038
42,1.0,1.0,1.0,30.0,2.2561598809988936
43,1.0,1.0,1.0,27.0,2.1594653629872482
44,1.0,1.0,1.0,45.0,3.7647300730022835
45,1.0,1.0,1.0,23.0,2.0522091340098996
46,1.0,1.0,1.0,16.0,1.3236911230051192
47,1.0,1.0,1.0,17.0,1.6437189580028644
48,1.0,1.0,1.0,21.0,1.6478654469974572
49,1.0,1.0,1.0,23.0,1.6521448510029586
50,1.0,1.0,1.0,39.0,3.147540382007719
51,0.0,1.0,0.0,150.0,11.814187443000264
52,1.0,1.0,1.0,31.0,2.4979379489959683
53,1.0,1.0,1.0,22.0,1.5857675279985415
54,1.0,1.0,1.0,19.0,1.8127815560001181
55,1.0,1.0,1.0,28.0,2.751812634000089
56,1.0,1.0,1.0,25.0,2.150031184995896
57,1.0,1.0,1.0,25.0,2.535456110999803
58,1.0,1.0,1.0,33.0,3.0435131620033644
59,1.0,1.0,1.0,17.0,1.599868218996562
60,1.0,1.0,1.0,27.0,2.6085555649915477
61,1.0,1.0,1.0,21.0,1.8885627319978084
62,1.0,1.0,1.0,24.0,1.8387355440063402
63,1.0,1.0,1.0,23.0,2.125612703996012
64,0.0,1.0,1.0,19.0,1.7511329720000504
65,1.0,1.0,1.0,46.0,3.5774327849940164
66,1.0,1.0,1.0,27.0,1.9533175730030052
67,1.0,1.0,1.0,24.0,2.1225018559925957
68,0.0,1.0,0.0,150.0,11.427953721999074
69,1.0,1.0,1.0,30.0,2.0847827560064616
70,1.0,1.0,1.0,23.0,1.5520024449942866
71,1.0,1.0,1.0,16.0,1.2484732510056347
72,1.0,1.0,1.0,20.0,1.4743168629938737
73,1.0,1.0,1.0,29.0,2.1800596000102814
74,1.0,1.0,1.0,34.0,2.546225714002503
75,1.0,1.0,1.0,24.0,1.6507111359969713
76,1.0,1.0,1.0,34.0,2.4620965070062084
77,1.0,1.0,1.0,36.0,2.7962061690050177
78,1.0,1.0,1.0,24.0,1.5559366039960878
79,1.0,1.0,1.0,29.0,2.217701654008124
80,1.0,1.0,1.0,42.0,2.9799340129975462
81,1.0,1.0,1.0,27.0,2.2207360890024574
82,1.0,1.0,1.0,13.0,0.9811021899949992
83,1.0,1.0,1.0,36.0,3.56952744400769
84,1.0,1.0,1.0,16.0,1.4763389619911322
85,1.0,1.0,1.0,42.0,3.2310273549956037
86,1.0,1.0,1.0,33.0,2.575736383005278
87,1.0,1.0,1.0,28.0,1.8457735240081092
88,1.0,1.0,1.0,29.0,2.255308857987984
89,1.0,1.0,1.0,28.0,2.2418778169958387
90,1.0,1.0,1.0,28.0,2.738180726999417
91,1.0,1.0,1.0,43.0,3.096968633006327
92,1.0,1.0,1.0,21.0,1.4068140919989673
93,1.0,1.0,1.0,20.0,1.5622826390026603
94,1.0,1.0,1.0,35.0,2.662971097000991
95,1.0,1.0,1.0,26.0,2.1935555710078916
96,1.0,1.0,1.0,27.0,2.445079336001072
97,1.0,1.0,1.0,25.0,2.1281495849980274
98,1.0,1.0,1.0,36.0,3.0122865599987563
99,1.0,1.0,1.0,26.0,2.094458024002961
